data_idx,question_idx,prompt_question,prompt_option_a,prompt_option_b,prompt_option_c,prompt_option_d,answer,country
272,272,"In Indian culture, what is a common attire for women to wear for formal occasions such as weddings or festivals?",Traditional South Asian dress,Semi-formal evening dress,Formal women's business attire,Formal night event dress,A,India
273,273,"In a typical Italian family gathering, what is a common tradition for Sunday lunch?",Having a potluck where everyone brings a dish to share,Eating out at a family's favorite restaurant,Ordering in food from various cuisines to enjoy a relaxed meal at home,"Having a big, homemade lunch cooked by the grandmother for the entire family.",D,Italy
274,274,"In Filipino culture, what is respect?",Greeting them with a slight bow,Kissing them on both cheeks,Calling them by their first name,"Performing the ""mano po"" gesture by taking the elder's hand and placing it on their forehead.",D,Philippines
275,275,"In Mexican culture, what is the general perception of the police force in Mexico City?",Trustworthy and reliable,Efficient and technologically advanced,Incompetant and inreliable.,Friendly and approachable.,C,Mexico
276,276,"In Polish culture, what special day do people tend to celebrate involving names?",Name day - the feast day of the saint after whom one is named,Graduation day - the day one graduates from school or university,Independence Day - a national holiday commemorating the country's independence,Thanksgiving Day - a day for giving thanks for the blessings of the harvest and of the preceding year.,A,Poland
277,277,"In Vietnam, what is a common practice regarding pedestrians and traffic?",People usually walk without regarding traffic signs,Pedestrians always wait for a walk signal before crossing,Crossing streets only at designated pedestrian crossings,Jaywalking is strictly enforced with penalties,A,Vietnam
278,278,What do people in Korea usually eat on the hottest day of summer?,Grilled hamburgers,Cold sandwiches,Boiled chicken,Hot dogs.,C,South Korea
279,279,"In the context of Filipino culture, how might Filipinos typically react to news that an actor that was cast in a big Hollywood TV series had one Filipino grandparent?",Organize a community-wide fiesta to celebrate the achievement.,Immediately start a social media campaign to highlight their being Filipino.,Host a quiet family dinner keeping the celebration low-key.,Gift the actor an expensive piece of jewelry as a sign of good luck.,B,Philippines
280,280,How do Lebanese individuals typically behave in public settings?,They ignore each other,They avoid crowded places,They would nod,They are friendly,D,Lebanon
281,281,"In Thai culture, which of the following actions is not considered respectful?",Touching someone's head.,Shaking hands when meeting someone for the first time.,Making direct eye contact when speaking.,Hugs are more commonly used as greetings.,A,Thailand
282,282,"How is the dead celebrated in Chinese culture?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Holding a memorial service with offerings of food and burning paper money.
(ii) Decorating graves with flowers and holding picnics nearby.
(iii) Lighting candles and leaving photographs at altars in the home.
(iv) Hosting a feast with an empty chair for the deceased to join.","i, iii","i, ii, iii, iv","i, iv","i, ii",A,China
283,283,"In Zimbabwean culture, what must be done for individuals who share the same totem to marry?",Pay a larger bride price to the elders,Seek permission from a tribal chief,Perform a specific ritual to the ancestors,Undergo marriage counseling sessions.,C,Zimbabwe
284,284,"In the Shona Zimbabwe culture, what are the consequences for eating your totem?",It is considered a taboo and brings bad luck to the individual and their family.,It is celebrated as a rite of passage into adulthood.,It grants the individual special powers or insights.,It is a necessary step in becoming a community leader.,A,Zimbabwe
285,285,"In Czech culture, what is expected when entering someone's home?",Remove your shoes and put on your indoor shoes.,Remove your shoes and accept host's indoor shoes.,Enter the house with your own indoor shoes.,Remove your shoes and put on your host's shoes.,B,Czech Republic
286,286,When do Spanish people typically eat their main meal of the day?,Between 2 and 3pm,Around noon,At 6pm,At 8pm,A,Spain
287,287,"In Hong Kong culture, why do people use two pairs of chopsticks while eating from communal dishes?",To distinguish their chopsticks from others at a large gathering.,Due to hygiene reasons.,To not mix the flavour of the dishes.,Give people an extra one in case they dropped one.,B,Hong Kong
288,288,"What type of break is a common practice among Spanish workers during their workday?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Taking a long lunch break in the afternoon
(ii) Having a short coffee break every few hours
(iii) Working through lunch to leave work earlier
(iv) Taking multiple short breaks for snacks","ii, iii","i, ii, iii","i, ii","ii, iv",C,Spain
289,289,"What do the French typically buy every day for their meals, reflecting their cultural preference?",Baguette,Hamburger buns,Tortillas,White rice.,A,France
290,290,"In Polish cultural context, what is considered polite when greeting someone?",A firm handshake,A high five,A bow,A hug.,A,Poland
291,291,What factors contribute to the high birth rates among women in Malawi despite financial constraints in providing for their children?,Due to cultural practices and poverty.,Because of high school graduation rates.,To pursue career opportunities abroad.,As a result of college admission requirements.,A,Zimbabwe
292,292,"In Zimbabwe culture, how should women and young girls show respect when giving water or food to elders and parents?",Standing up straight and making eye contact,Bowing down when offering food or water,Shaking hands before and after giving water or food,Asking the elders to help themselves.,B,Zimbabwe
293,293,"In South African culture, how do most women traditionally dress when in public?",Wear clothing that covers most of their body,Dress in layers to withstand cold,"Walk with revealing attire, including exposed breasts",Wear formal attire on a regular basis.,A,South Africa
294,294,"In Zimbabwe culture, what do the youngest children call their older sister or brother instead of using their names?",Aunt or Uncle,Elder,Brother or Sister (using the specific term in their language),Mr. or Ms. followed by their last name.,C,Zimbabwe
295,295,"In Mexican Catholic culture, which gifts are traditionally said to have been brought by the three Wise Men to the child God?","Chocolate, Peanut Butter, and Jelly","Gold, Frankincense, and Myrrh","Apple Pie, Baseballs, and Hot Dogs","Maple Syrup, Hockey Pucks, and Flannel Shirts.",B,Mexico
296,296,"In Mexican culture, we celebrate Dia de la Independencia on September 15th, marking the fight to protect our heritage from Spanish influence, involving great battles and significant sacrifices. What is a traditional way we commemorate this day?",With fireworks and parades showcasing our national pride,By dressing up as famous historical figures from American Independence,Through quiet family gatherings and reflection,Eating burgers and watching baseball games.,A,Mexico
297,297,"What do families in Chile typically barbecue and drink on Independence Day?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) barbecue and hotdogs
(ii) barbecue
(iii) barbecue, wine and empanadas
(iv) barbecue, terremoto and empanadas","ii, iv","iii, iv","i, iii","i, ii, iii, iv",B,Chile
298,298,"In South Korean culture, which of the following is not a traditional and culturally appropriate gift to bring to a friend's housewarming party, where the focus is on practicality and utility?",A stylish set of bath towels,A decorative ceramic vase for home decor,A set of high-quality kitchen towels or a compact rice cooker,A premium bottle of French champagne,D,South Korea
299,299,"In Chilean culture, how are people usually received?",You say hello,A bow is made,Men are given a kiss on the face and women are given a handshake.,None of the above,A,Chile
300,300,What's a unique anniversary that Polish grandparents often celebrate?,Name day,Independence day,Birthday,Labour Day,A,Poland
301,301,"In Vietnamese culture, why is it important to know people's age?",To find suitable sports activities to do together.,To understand what kind of music they might like.,To know how to address them properly and show respect.,To suggest appropriate TV shows or movies to watch together.,C,Vietnam
302,302,"In Vietnamese culture, how do they call the grandmother on the father's side?",Bà nội,Nana,Abuela,Oma,A,Vietnam
303,303,"In Chinese culture, why is it improper to serve chopsticks placed vertically in a bowl of rice?",Because it signifies you are in a hurry and lack respect for the mealtime.,"Because it is thought to resemble an offering for the dead, bringing bad luck.",Because it symbolizes cutting ties with those you are sharing your meal with.,Because it indicates that you are finished eating and want to leave the table,B,China
304,304,"In Morocco, with which hand do individuals exclusively eat their food?",With their right hand only,With both hands interchangeably,With their left hand only,With whichever hand is more dominant for the individual.,A,Morocco
305,305,"In Saudi culture, how do you properly serve Arabic coffee to a guest?",pour with left hand and serve it with right hand,pour it while its on the tray then serve it,pour with right hand and serve it with left hand,pour it while they hold the cup,A,Saudi Arabia
306,306,"In Māori culture, what is considered disrespectful when it comes to spaces used for making or eating food?",Sitting on tables or places where food is prepared or eaten,Eating with your left hand,Using a knife in your left hand,Eating food directly from a communal pot.,A,New Zealand
307,307,"In Polish culture, which beverage is traditionally popular during celebrations?",Mead,Sake,Kvass,Vodka,D,Poland
308,308,Which of the following questions is/are from people in Iran?,"Happy Nowruz! What items do you include on your Haft-Seen table? Have you prepared Sabzeh yet?""",That's a wonderful tradition. What kind of tea do you usually serve to guests? Have you tried serving Persian sweets with it?,It's great to respect cleanliness. Do you have special slippers for guests? Do you also offer them a place to sit and relax?,All of the above,A,Iran
309,309,"In Singaporean culture, what is an egregious faux pas when eating with others?",Eating quickly to show you enjoyed the meal,Taking the last morsel of food for yourself from a communal dish,Making loud noises while eating to express your enjoyment,Refusing to offer to pay the bill at the end of the meal.,B,Singapore
310,310,"In Egypt, what is the appropriate way to return borrowed money when you find your friend's spouse home alone?","Politely refuse any offers for tea or food, give the money, and leave immediately.","Accept the invitation for tea, hand over the money, and then leave after a brief chat.",Insist on waiting until your friend comes home to hand over the money personally.,Take the spouse,A,Egypt
311,311,"In Egypt, how should an adult respond when witnessing a child behaving inappropriately towards another child?",Correct the child's behavior as it's considered a collective responsibility to guide children.,"Ignore the behavior, as it's deemed appropriate to not interfere with others' children.",Take a video of the incident to discuss on social media for collective advice.,Call for professional help as it's,A,Egypt
312,312,"In Indian culture, how do people typically indicate ""yes"" with a head movement?",Shaking the head left and right,Nodding the head up and down,Tapping the side of the nose,Winking one eye.,B,India
313,313,"In German culture, what is the common practice regarding meals?",A hot meal for dinner and a cold meal for lunch,A cold meal for dinner and a hot meal for lunch,People skip lunch and only eat dinner,A cold meal for both lunch and dinner,B,Germany
314,314,"In German culture, what is a popular outdoor activity?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Going for walks
(ii) Surfing
(iii) Barbecue cookouts
(iv) Relax in the garden","i, iii, iv","i, iii","iii, iv","i, iii, iv",A,Germany
315,315,How is lobola observed in the Zulu culture and what does it symbolize?,"A negotiation involving gifts of cattle, goats, or other items from the groom's family to the bride's, symbolizing respect and unity between the families.","A payment made by the bride's family to the groom's family in cash, symbolizing the bride's contribution to her new family.",A contract signed between the bride,None of the above are correct.,A,South Africa
316,316,"In British culture, which form of greeting is considered most polite and traditional?",A firm handshake while maintaining eye contact,A casual high-five,A warm hug,A bow.,A,United Kingdom
317,317,"In Russian Orthodox culture, what is customary to do in a house after someone has died?",Ring a bell up to the number of years someone lived,Leave a place at the table,Break a glass,Cover the mirrors,D,Russia
318,318,What is not a common way to celebrate the afterlife in Chinese culture?,Lighting candles and placing them in windows.,Throwing a gathering with music and dance.,Burning joss paper offerings.,Decorating a house with lights and ornaments.,B,China
319,319,"In Argentina, how do friends typically prefer to enjoy their time?","Gathering in large groups, everyone together",Spending time alone or in very small groups,Preferring online interactions over face-to-face meetings,"Meeting in exclusive clubs, selective of the company they keep.",A,Argentina
320,320,"In many South American cultures, which of the following is a commonly observed greeting practice, especially in informal social settings, that may differ from similar practices in other cultures?","A formal handshake accompanied by a single kiss on the cheek, common in diplomatic settings in Europe","A single kiss on the right cheek, often mistaken for the practice of kissing both cheeks in Southern Europe","A hug with a pat on the back, frequently seen in casual greetings in North America","A double kiss on alternating cheeks, a practice similar to those observed in Mediterranean cultures",B,Argentina
321,321,What is a common dining etiquette in Turkish culture when eating out with friends or family?,Insisting on paying the check and encouraging others to eat more,Splitting the bill evenly among everyone regardless of what each person ate,Ordering individually and paying only for what one has consumed,"Taking turns to pay for the whole table, but not insisting on it.",A,Turkey
322,322,"In Korean culture, what is considered polite when greeting adults?",Bow slightly without initiating a handshake,Offer a firm handshake immediately.,Give a high five as a friendly gesture.,Hug as a sign of warmth and greeting.,A,South Korea
323,323,"In Bangladeshi culture, how do people traditionally eat their meals?",With chopsticks,With a fork and knife,With their hands,With a spoon and fork.,C,Bangladesh
324,324,How do locals in Hong Kong pay at a restaurant?,You wait until the waiter asks how your food is.,You wait for the waiter to bring the check.,On your phone.,Raising a hand and silently making a writing gesture.,D,Hong Kong
325,325,"In Ukrainian culture, during an official speech, how might a reporter engage the audience with a culturally significant phrase (provide a four-sentence response)? Select the second sentence.","Shouting ""Slava natsii!"" and waiting for the response.","Shouting ""Slava Ukraini"" and waiting for the response.",Begin singing a ukainian national anthem,Asking a trivia question about national history.,B,Ukraine
326,326,What is the ritual with Kutia during Christmas in the Slavic culture?,"Sharing Kutia with family, because Kutia is very expensive dish",Hanging a bowl of Kutia outside for Santa Claus.,Placing Kutia under the Christmas tree as a gift for the first visitor.,Eating at least three spoons of Kutia at Cristmas evening is obligatory,D,Ukraine
327,327,What is the most likely way to celebrate September 18 in Chile?,Serving a variety of vegan dishes and smoothies while providing a quiet space for reflection.,"Organizing competitive sports and activities, serving sports drinks and protein bars.","Hosting a barbecue with large quantities of meat and alcohol, playing local music, and dancing for three days.",None of the above.,C,Chile
328,328,Is food coloring always added to make Filipino banana ketchup?,Yes,No,Natural color will do,Tomato additive can be used to add color,A,Philippines
329,329,"In Turkish culture, how do we show respect to elderly people during religious holidays?",Giving them a high-five,Kissing their hands,Hugging them enthusiastically,Shaking their hands firmly,B,Turkey
330,330,"In Hong Kong culture, what is expected of working-age adults to their parents?",Giving a monthly allowance to their parents.,Taking their parents out for dinner every month.,Buying a new car for their parents every five years.,Sending their parents on a vacation every five years.,A,Hong Kong
331,331,"In Hong Kong culture, what is valued more for children?",Academic performance,Sports achievements,Musical talent,Artistic creativity,A,Hong Kong
332,332,"In Hong Kong culture, why is it important to have offspring?",To achieve personal fulfillment,To leave a legacy and extend the family tree,For tax benefits,To help with household chores.,B,Hong Kong
333,333,"In French culture, what is considered taboo to discuss at work?",Discussing financial compensation details,Discussing weekend plans.,Sharing personal hobbies.,Discussing personal life situations,A,France
334,334,"In Bangladesh culture, how should the young ones address their elders?","By their first names only, no matter what your relationship with them","For known people, you can use their first names or a term of endearment. For people you do not know, you use their surname and a general title like sir/miss as a prefix",Using a term of endearment based on the family relationship,By their last name only.,C,Bangladesh
335,335,"In South Africa, what is the rule about talking during meals?",You can freely chat and converse while eating.,Silence is maintained throughout the meal.,Only elders can initiate conversations.,You can only talk between courses.,B,South Africa
336,336,"In Zulu culture, what is the practice regarding men and marriage?",Men are allowed to marry only one wife.,Men are not allowed to marry.,Men are expected to live with their partner without formal marriage.,Men are allowed to marry more than one wife.,D,South Africa
337,337,"In Zulu culture, what is the proper way for a married woman to serve men when approaching them sitting?",Kneels down to serve them,Sits at the table and serves them,Stands beside the table to serve,Shakes hands with everyone before serving.,A,South Africa
338,338,"In Filipino culture, how do the elders know that the young respects them?","Saying ""please"" and ""thank you"" frequently in conversations","Adding ""po"" at the end of sentences and greeting the elderly by ""Mano""",Addressing them with their first name only,Giving a firm handshake whenever they meet.,B,Philippines
339,339,"In Thai culture, how is food typically served during a meal?",Everyone shares from common dishes.,Each person orders their own dish without sharing.,Everyone prepares their own plate from a buffet.,People eat individually packaged meals.,A,Thailand
340,340,"In Hong Kong, what do we typically start dinner with?","The order of soup, and rice and plates does not matter",A bowl of soup first and then have rice and plates,Rice and plates first and then have a bowl of soup,A bowl of soup together with rice and plates,B,Hong Kong
341,341,"In Thailand, how do we traditionally greet each other?",Put two hands together at the palm and bow,A firm handshake,A hug and kisses on the cheek,A wink.,A,Thailand
342,342,"In Thailand, how do we traditionally eat our special type of sticky rice?",hands and spoon,With our hands,spoon and for,our hands and fork,B,Thailand
343,343,Does the German people gives direct feedback on your mistakes?,Yes they are brutally honest and tell you directly,No they do not really do it,It depends on the context,Usually yes but not very harsh,C,Germany
344,344,"What is a popular Indonesian cuisine that involves skewered and grilled meat served with a thick, spicy, and turmeric-based sauce?",Sate Padang.,Sate Madura.,Wagyu Steak.,BBQ Ribs.,A,Indonesia
345,345,"In Zimbabwean culture, what does the groom typically give to the bride's family when getting married?",A specified amount of money and/or livestock as a bride price,An engagement ring costing at least three months of his salary,A handwritten letter expressing his intentions and future plans,A set of kitchen appliances for the bride's family.,A,Zimbabwe
346,346,"During Chinese New Year, what do children traditionally receive from their parents and relatives in Chinese culture?",Toys that symbolize new beginnings,Red pockets containing money,Personalized cards with best wishes,Homemade cookies symbolizing family unity.,B,China
347,347,"In Chinese culture, what is the traditional food eaten during the Dragon Boat Festival?",Sticky rice dumpling,Pumpkin pie,Hot dogs,Turkey with cranberry sauce.,A,China
348,348,How do people in Hong Kong commonly greet each other?,By asking if you have eaten or not,By giving a firm handshake,By hugging each other,"By saying ""How are you?""",A,Hong Kong
349,349,"How often do people in Hong Kong like to travel each year, and where is a favorite destination?","Two to three times a year, especially to Japan","Once a year, especially to national parks","Four times a year, especially to Europe","Every month, especially to nearby beaches.",A,Hong Kong
350,350,"In India, is 25 considered an appropriate age to marry?","Yes, because it's seen as the ideal age to start a family.","No, it's better to focus on career first and marry later.","No, it's too early; people should marry in their 30s to ensure financial stability.","No, because people often date for several years before getting married.",A,India
351,351,"In the Zulu culture, how do women traditionally show respect when presenting food to men?",They bow,They shake hands,They serve the food and sit down next to the men,They make a toast before serving.,A,South Africa
352,352,"In Hong Kong, what present should not be given to others during new year?",Shirts,Shoes,Pants,Socks,B,Hong Kong
353,353,"In Israel, there is a holiday during which it is customary to wear white. Which of the following holidays is it?",Shavuot,Thanksgiving,Independence Day,Halloween,A,Israel
354,354,What is a unique travel tradition in Russian culture?,Seating a minute before traveling,Taking a group selfie before leaving,Throwing confetti as someone departs,Listening to a road trip playlist while packing.,A,Russia
355,355,"In Italian culture, which of the following is a common way of greeting even among acquaintances?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Two kisses on the cheeks
(ii) A firm handshake
(iii) A high five
(iv) Three kisses on the cheeks","i, iv","i, ii","i, iii","i, iii, iv",B,Italy
356,356,"In Northeast Mexico, as a sign of affection, how do you address an elder even if not related to you?",Calling them Uncle,Addressing them by their first name,Calling them Mr./Mrs. followed by their last name,Referring to them as Sir or Madam.,A,Mexico
357,357,"In Mexican culture, what is unusual at a funeral?",Alcoholic beverages,Coffee and cookies,Iced tea,Water and soda.,A,Mexico
358,358,"What is commonly done to celebrate the dead in Mexican culture?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Lighting candles and saying prayers at home.
(ii) Visiting the graves and leaving food for the dead.
(iii) Holding a parade in the deceased's honor.
(iv) Planting a tree in memory of the deceased.","i, iii","i, iv","ii, iii, iv","i, ii",D,Mexico
359,359,How do people usually kiss in italy?,They french-kiss,They don't kiss in public,They lick each other,They just kiss as they like,D,Italy
360,360,"In Zulu culture, what practice is followed for a couple to be married regarding the groom's family?",Paying Lobola (dowry) to the bride's family,Throwing a large engagement party for friends and family,Going on a honeymoon before the wedding,Signing a prenuptial agreement,A,South Africa
361,361,"In Italian culture, when does lunch usually start?",between 12 pm and 1 pm,at 11 am,at 2 pm,around 3 pm.,A,Italy
362,362,"In England, what common topic of conversation do people often start with?",The state of the weather today,The latest basketball game scores,Opinions on the latest Hollywood movie,Recommendations for quick and easy dinner recipes.,A,United Kingdom
363,363,"In Catalonia, which language is officially recognized?","French, Catalan and Aranes","Spanish, Catalan and Aranes",Catalan and Aranes only,"German, Catalan and Aranes",B,Spain
364,364,"In Bangladeshi culture, how do people greet each other when they meet?",Namaste,No Salam,Raise their hand to forehead and say As Salamu Alaikum,Hug.,C,Bangladesh
365,365,What do Bangladeshi people commonly do after Eid prayer in their culture?,Hug each other,Shake hands formally,Exchange gifts immediately,Sit down for a communal prayer session.,A,Bangladesh
366,366,"In Bangladeshi culture, what color dress is traditionally worn on the first day of spring?",Yellow,Red,Blue,Green,A,Bangladesh
367,367,People from which city in Mexico are stereotyped as being prone to have romantic relationships with cousins?,Guadalajara,Monterrey,Puebla,Merida,B,Mexico
368,368,What do young children in Germany receive on their first day of school?,A high-five for good luck,A personalized welcome note,A bag full of candy,A new book to start the year.,C,Germany
369,369,"In Turkey, how are guests of honour typically greeted?",With bread on a towel and salt,With a lei of flowers,With a firm handshake and a smile,with an offer to spray cologne on your hands,D,Turkey
370,370,"In Australian street culture specifically, what is a common term for someone who commits crime and is rebellious?",Thug,Geezer,Adlay,Shooter,A,Australia
371,371,How do Malaysian families usually have their meals?,Ordering individual meals for each person,Sharing a large meal among the group,Each person orders a meal for another person randomly,Eating only appetizers as a meal.,B,Malaysia
372,372,"In Spain, which activity is most commonly enjoyed due to the love for the sun and joyous celebrations?",Hosting large outdoor lunches with family and friends,Indoor ice skating parties,Snowboarding in mountain resorts,Watching movies indoors for long hours.,A,Spain
373,373,"In Nigerian culture, who is not allowed to stand in front of a masquerade during traditional festivals?",Men,Women,Tourists,Elders,B,Nigeria
374,374,"In Ukrainian culture, what is the customary practice when giving flowers as a gesture of respect or affection?",Giving an odd number of flowers for celebrations or as a gesture of affection.,Choosing a bouquet with a mix of white and red flowers to signify unity.,Including a greeting card with personal messages along with the bouquet.,Presenting a dozen roses to symbolize deep love and appreciation.,A,Ukraine
375,375,"In Thailand, what is a common expectation parents have for their children's education?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Taking extra classes after school
(ii) Participating in summer camps focused on academic
(iii) Attending coding bootcamps during weekends
(iv) Enrolling in online courses for college credit.","i, ii","i, ii, iii, iv","ii, iv","i, iv",A,Thailand
376,376,"In Thai culture, what is Thailand commonly known as due to its friendly and welcoming population?",The land of chilli,The land of smiles,The city that never sleeps,The land of spices.,B,Thailand
377,377,"In Thai culture, which food is considered a staple in everyday meals?",Rice,Bread,Rice Noodles,Yellow Noodles,A,Thailand
378,378,"In Sikhism, what is the term for the free food offered in the temples ?",Langar,Potluck,Buffet,Soup kitchen,A,India
379,379,"What does ""Phulkari"" mean in Punjabi culture?",Embroidery,Traditional dance,Type of festival,Cooking style.,A,India
380,380,What is a common behavior towards strangers in Egypt?,Keeping a formal distance without much conversation,Inviting them for a coffee or tea,Waiting for the stranger to initiate conversation,Only nodding in acknowledgement without verbal greetings.,B,Egypt
381,381,What unusual food might a Chinese family serve at a celebration?,scorpion,alive fish,soup of bird nest,natto,C,China
382,382,"In Turkey, what is commonly done during meal times when someone is present?",Offering to share the meal with the person present,Eating quickly so guests don't feel obliged to join,Expecting guests to provide a dish if they join,Waiting for the guest to ask if they can share the meal.,A,Turkey
383,383,How do people in Egypt typically behave during a meal?,They engage in conversations while eating.,They eat silently and consider talking rude.,They only talk after everyone has finished eating.,They focus on the meal and discourage any form of communication until the end.,A,Egypt
384,384,What might a Cairo family eat for breakfast on weekdays?,Pancakes and syrup,Ful medames,Sausages and eggs,Waffles and bacon.,B,Egypt
385,385,"In Mexican culture, what is the typically known way to eat burritos?",By hand,With chopsticks,With a fork and knife,With a spoon.,A,Mexico
386,386,What is a common Chinese New Year tradition involving the act of giving for wishes of prosperity?,Exchanging red envelopes with money inside,Giving chocolate coins wrapped in gold foil,Handing out small toys to children,Sharing pie slices with wishes written on the crust.,A,China
387,387,"In Chile, which language's words are commonly borrowed in addition to the official language, Spanish, reflecting the cultural integration with the indigenous population?",Mapudungun,French,German,Italian.,A,Chile
388,388,"In Chilean culture, what is the typical evening meal called, bearing resemblance to a continental breakfast and involving gatherings after 6PM for fresh bread and tea or coffee?",Once,Cena,Hora del té,Brunch,A,Chile
389,389,"In Malaysian culture, how is respect shown to elders when walking together?",Offering the front seat in a car,Walking in front of them to lead the way,Standing or walking behind them,Letting them carry your belongings.,C,Malaysia
390,390,"In Italian dining etiquette, how is it customary to clean any residual sauce on the plate after eating a pasta dish?",Scooping it up with a piece of bread and eating it.,Asking for a spoon to neatly gather and eat the sauce.,Using a fork to directly scoop and eat the sauce from the plate.,Leaving the sauce on the plate as it is considered polite.,A,Italy
391,391,"In Chinese dining culture, what is the preferred utensil for eating food?",chopsticks,fork and knife,hand,spoon.,A,China
392,392,What do German people say when they clink glasses?,Prost!,Salud!,Kanpai!,Cheers!,A,Germany
393,393,"In Czech culture, what do people do when they finish their meal?",Putting their cutlery together on plate,Putting their cutlery next to plate,Putting their cutlery together next to plate,Raising their hand to notify the waiter.,A,Czech Republic
394,394,What is a significant aspect of the Polish culture regarding their perspective on history?,"Deep respect and remembrance of historical events, including conflicts and victories.","Celebrating historical conflicts with large parades and reenactments, focusing on the entertainment aspect.",A focus on future technological advancements over historical events.,Prioritizing the celebration of individual historical figures' birthdays as national holidays.,A,Poland
395,395,"In French culture, how many times people traditionally kiss each other's cheeks as a greeting?",Depends on the region,2,3,3 +,A,France
396,396,"In Chinese culture, why are some individuals often asked why they cannot pronounce certain English letters correctly?",Because the Chinese language has different phonetics and lacks some English sounds.,Due to a strong emphasis on American English in their educational system.,Because they are more exposed to Spanish phonetics from a young age.,Because they frequently use the French language in daily communication.,A,China
397,397,"In Egyptian culture, how do the legal wedding ceremony and the wedding party differ in terms of invitees?","The legal ceremony includes more than 300 invitees, and wedding parties are intimate.","The wedding party is typically larger and includes distant relatives and acquaintances, unlike the legal ceremony.","Both events have the same set of invitees, focusing on very close friends and family.",The wedding party includes professional colleagues and students.,B,Egypt
398,398,"In Mexican culture, which type of dog is commonly considered a status symbol?",Purebred dogs,Non pure breed dogs,Designer dogs,Teacup dogs.,A,Mexico
399,399,What is a common lunchtime choice in the Netherlands?,Bread with cheese,Hamburgers and fries,Sushi rolls,Tacos with salsa.,A,Netherlands
400,400,"In Thai culture, what is a common way to greet someone?",Asking if the other person has already eaten,A firm handshake,A high five,A hug.,A,Thailand
401,401,"In Thai culture, what is the most frequently asked introductory question?",What is your age?,What do you do for a living?,What hobbies do you have?,What is your political stance?,B,Thailand
402,402,"In German workplace culture, what is the customary way to celebrate your own birthday at the office?",Bring a cake to share with your colleagues,Expect your colleagues to throw you a surprise party,Take the day off work,Wait for your colleagues to bring you gifts.,A,Germany
403,403,"In Thai culture, what is the expected educational path after finishing high school?",Attending a university,Starting an apprenticeship,Joining the workforce immediately,Taking a gap year to travel.,A,Thailand
404,404,"In Iranian culture, we celebrate Yalda Night during the winter. How do we celebrate it?",with eating cake,with drinking shampine,with family eating nuts,barbeque,C,Iran
405,405,When do people typically start learning to drive in the UK culture?,"At 15 years old, alongside their peers in other countries.","As soon as they turn 18, which is later than many other countries.","At 14, to get a head start on driving skills.","At 17, to coincide with secondary school milestones.",D,United Kingdom
406,406,What's a faux pas at a dinner table in Poland?,Leaving food on your plate,Eating with your hands,Not tipping the server,Asking for a to-go box.,B,Poland
407,407,"In Dutch culture, what is one of the most celebrated milestones in a young kid's life?",When they can ride a bicycle without training wheels,When they read their first book in dutch,When they score their first goal in soccer,When they bake their first stroopwafel,A,Netherlands
408,408,"In Indian culture, how do you address elders who are not related to you as a mark of respect?",Uncle or Aunty,By their first names,Sir or Madam,Mister or Misses,A,India
409,409,"In Indonesian culture, how do people mostly spend their time on the road?",Bicycles,Motorcycles,Cars,Scooters,B,Indonesia
410,410,What traditional rite of passage do Xhosa teenagers typically undergo for initiation into adulthood?,Attending a formal coming-of-age ceremony,Going to the mountain for circumcision and initiation,Participating in a debutante ball,Hosting a large 16th birthday party.,B,South Africa
411,411,"In Zulu culture, who is primarily worshipped and revered?",The supreme being or God known as uMvelinqangi,A multitude of saints,The founding fathers of the nation,Nature spirits and totems.,A,South Africa
412,412,"In the Sahraoui culture, what is the preferred body type for women in the context of marriage?",Fat or kind of fat,Skinny and athletic,Muscular and toned,Petite and slender,A,Morocco
413,413,"In Saharoui culture, what is the appropriate greeting etiquette between a woman and a strange adult man?",They should not shake hands,They can give a high five,They should give a friendly hug,They can exchange fist bumps.,A,Morocco
414,414,"How do you reserve a table in Singapore?
Read the following statements and select the option that include all the appropriate statements for this question.
(i) Using personal items like tissue packets, umbrellas, or water bottles
(ii) Placing a reserved sign provided by the food court
(iii) Asking a friend to stand by the table until they arrive
(iv) Leaving a tip on the table ahead of time.","i, iv","i, ii","i, iii","ii, iii, iv",C,Singapore
415,415,"In the context of Turkish culture, what traditional act is performed during the ceremony in which the man’s family requests the woman’s hand in marriage?","The woman makes a Turkish coffee for the man with a lot of salt, which he has to drink.",The man presents a diamond ring to the woman in front of her family.,The families exchange gifts wrapped in red paper.,The woman's family prepares a,A,Turkey
416,416,"In Dutch culture, what is the customary practice when it's someone's birthday and you're attending the celebration?",Congratulate everyone close to the birthday person with their birthday.,Sing the birthday person's favorite song as a group.,Give a heartfelt toast dedicated just to the birthday person.,Share a personal story or memory about the birthday person with the group.,A,Netherlands
417,417,How many days do weddings usually last in Moroccan culture?,Always three to four days.,Always From the beginning of the week till the week-ends.,"More than one day, sometimes even for a whole week",Only one night.,D,Morocco
